ufa_player_id,norm_name,club,n_evidence,evidence
zabdulla,zubair abdulla,,2,jersey:63 years:2
zarmstron,zachary armstrong,,1,years:4
zburpee,zachary burpee,,3,city:new york jersey:0;6 years:4
zbyrnes,zac byrnes,,1,years:3
zcole,zachary cole,,1,city:atlanta
zcotter,zachary cotter,,3,city:houston jersey:20 years:3
zheiden,zach heiden,,2,jersey:45 years:1
zkieffer,zach kieffer,,3,city:chicago jersey:15 years:2
zmassi,zakarie massi,,3,city:montreal jersey:88 years:1
zmorneau,zacharie morneau,,2,city:montreal years:1
zmorton,zach morton,,1,years:2
zraunig,zeppelin raunig,,3,city:seattle jersey:0;30 years:5
zscheuerm,zac scheuerman,,2,jersey:18 years:2
zsinger,zach singer,,1,years:4
zthoreson,zeke thoreson,,3,city:colorado jersey:1 years:3
zwenner,zachary wenner,,3,city:dallas jersey:2;5 years:2
zwolfe,zach wolfe,,2,jersey:20 years:1
